SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
COASTAL KARNATAKA,1927,0,0,0.6,21.5,80.1,683.4,1313.2,535.8,319.9,110.5,151.3,0,3216.4,0,102.2,2852.3,261.9
COASTAL KARNATAKA,1928,0.1,29.3,21.7,36.3,17.1,844.6,1108.8,836.6,107.4,316.4,12,9.3,3339.6,29.4,75,2897.4,337.7
COASTAL KARNATAKA,1929,1.9,0.2,2.5,105.6,114.7,1361.6,901.3,566.9,265.2,281.9,61.4,0.2,3663.6,2.2,222.8,3095,343.5
COASTAL KARNATAKA,1930,1.2,0.2,0,19.3,171.5,910.9,706.8,420.8,401.2,254.1,14.2,12.6,2913,1.4,190.8,2439.7,281
COASTAL KARNATAKA,1931,0,0,2.4,33.4,85.1,673.4,1244,1201.9,255.6,183.5,106.7,56.5,3842.4,0,120.9,3374.8,346.7
COASTAL KARNATAKA,1932,0,0,0,25.4,255.4,661.5,1072.4,457.2,469.9,348.7,125.6,7.3,3423.4,0,280.8,2661,481.6
COASTAL KARNATAKA,1933,0,0.1,5.4,60.6,360.3,1031.9,1326.6,481.3,502.5,292.8,42.3,35.6,4139.5,0.1,426.3,3342.4,370.7
COASTAL KARNATAKA,1934,7.4,0.6,1,16,24.4,1095.6,827.5,678.2,184.2,143.2,32.7,1,3011.8,8,41.5,2785.3,176.9
COASTAL KARNATAKA,1935,2,0,0.7,11.3,25.2,674,1168.1,425.5,312.5,245,11.9,9.9,2886,2,37.1,2580.2,266.8
COASTAL KARNATAKA,1936,0,0.9,23.3,14.7,138.7,1075.6,981.6,562.3,195.6,219.4,108.6,4.1,3324.7,0.9,176.6,2815.1,332.1
COASTAL KARNATAKA,1937,0,0,5.7,110.1,30.3,740.8,1531.7,365.7,274.1,240.8,11.8,3.2,3314.2,0,146.1,2912.3,255.8
COASTAL KARNATAKA,1938,0,0,15.5,43.3,138.2,1025.3,950.2,429.9,374,134.3,39.9,0.3,3150.9,0,197,2779.4,174.5
COASTAL KARNATAKA,1939,0,0,5.4,35.9,8.4,725.7,903.9,631.4,127.3,232.6,73.4,0.2,2744.2,0,49.7,2388.2,306.2
COASTAL KARNATAKA,1940,0.1,0,0.2,26.9,131,713.8,1155.7,1247.4,100.4,222.5,120.5,5.5,3723.9,0.1,158,3217.3,348.5
COASTAL KARNATAKA,1941,4.1,1.2,5.5,18.1,60.5,869.7,589.8,561.6,224.9,122.8,21.6,35.3,2515.1,5.3,84.1,2246,179.7
COASTAL KARNATAKA,1942,0,1.7,0.3,77.2,72.5,1104.8,1338.3,540.3,189.5,129.9,25.9,22.4,3502.6,1.7,149.9,3172.8,178.1
COASTAL KARNATAKA,1943,22.4,1.7,1.3,7.1,455.2,941.8,994.4,314.5,461.5,280.2,97,0,3577.2,24.1,463.6,2712.2,377.2
COASTAL KARNATAKA,1944,0,0.7,18.2,3.3,106.5,777.8,1204,451.2,61.6,267.6,81.9,11.8,2984.5,0.7,128,2494.5,361.3
COASTAL KARNATAKA,1945,2.6,0,0,19.7,24.5,824.7,1296.1,493.2,294.7,63.2,60.7,0,3079.3,2.6,44.1,2908.7,123.8
COASTAL KARNATAKA,1946,0,1.5,3.9,41.7,80.8,1227,1001.2,1086.6,231.5,148.9,180.6,37.7,4041.4,1.5,126.4,3546.3,367.2
COASTAL KARNATAKA,1947,1.7,9.2,13.9,45.2,18.7,630.6,1247.9,899.5,389.5,48.7,7.1,26.3,3338,10.9,77.7,3167.3,82
COASTAL KARNATAKA,1948,16.5,0,8.4,55.6,66.1,848.8,1102.9,973.2,301.3,90.6,163,0.2,3626.6,16.5,130.1,3226.2,253.7
COASTAL KARNATAKA,1949,3.3,0,1.2,12,293.1,691.6,1157.1,585.4,438,148.8,32,0,3362.4,3.3,306.3,2872.1,180.8
COASTAL KARNATAKA,1950,0,1,0.2,3.9,89.3,801.6,1506.7,456.1,716.5,136.6,54.1,0.1,3766.1,1,93.4,3481,190.8
COASTAL KARNATAKA,1951,0,0,0.9,55.4,70.7,940.2,1083.4,441.1,268.9,187.1,76.2,0.4,3124.3,0,127,2733.6,263.6
COASTAL KARNATAKA,1952,0,0.5,0,35.4,84.8,912.1,816.6,631.4,54.7,335.5,0,25.6,2896.6,0.5,120.2,2414.8,361.1
COASTAL KARNATAKA,1953,0.3,0,0,48.2,8.6,666.2,1630.1,633.6,160,313.4,2.9,0,3463.3,0.3,56.8,3089.9,316.3
COASTAL KARNATAKA,1954,0.5,0,21.6,61.1,89.8,1034.4,1357.4,688.7,421.8,133.6,0.6,12.1,3821.5,0.5,172.5,3502.2,146.2
COASTAL KARNATAKA,1955,0.3,0,4.7,29.9,360.3,962.7,639.3,702.2,458.2,361.1,31,2.8,3552.5,0.3,394.9,2762.4,394.9
COASTAL KARNATAKA,1956,0,0.8,1,78.4,412.7,1001,1155.8,520,267.6,288.5,129.9,0.7,3856.6,0.8,492.1,2944.5,419.1
COASTAL KARNATAKA,1957,0,0,1.5,8.5,168,755.8,1101.1,703.9,98,189,148.9,0.1,3174.8,0,178.1,2658.7,338
COASTAL KARNATAKA,1958,0.5,0.1,1.7,46.6,184.8,1031.4,1253.7,705.8,296.9,114.1,49.1,2.8,3687.4,0.6,233.1,3287.9,165.9
COASTAL KARNATAKA,1959,0,0,0,30.4,204.4,994.4,1727,704.1,521.6,75.3,52,21.7,4330.8,0,234.8,3947.1,148.9
COASTAL KARNATAKA,1960,0,0,8.5,40.7,393.7,790.6,1053.2,510.5,450.5,169,87.6,0,3504.2,0,442.9,2804.7,256.6
COASTAL KARNATAKA,1961,0,0,0.9,47.7,635,1013,1884.9,936.3,702.8,309.6,21,2.7,5553.9,0,683.6,4536.9,333.4
COASTAL KARNATAKA,1962,0.2,3.4,0.1,31.6,359.4,405.4,1307.9,1080.9,413.5,313.4,18.5,83.3,4017.7,3.6,391.1,3207.7,415.3
COASTAL KARNATAKA,1963,1.1,0.7,28.6,38.5,86,682.3,887.6,1013.8,181,233.7,8.2,10,3171.3,1.8,153,2764.7,251.8
COASTAL KARNATAKA,1964,0,0,2.6,5.8,23.4,631.7,864,978.1,363.9,200.2,53.1,17.6,3140.5,0,31.8,2837.8,271
COASTAL KARNATAKA,1965,2.5,0,0,9.7,39.7,797.8,1002.5,577.2,196.8,25.1,20.1,159.8,2831.1,2.5,49.4,2574.2,205
COASTAL KARNATAKA,1966,3.7,0,0.8,11.8,196,577.9,1122.4,278.3,299.6,191.9,231.5,62.8,2976.6,3.7,208.6,2278.2,486.2
COASTAL KARNATAKA,1967,2,0,0.1,18.5,86.7,658.7,1368.5,673.4,237.1,124.8,7.4,4.5,3181.8,2,105.3,2937.8,136.8
COASTAL KARNATAKA,1968,2,0,6.3,43.7,19.2,826.6,1550.5,456.3,304.9,221.4,30.1,0.1,3461,2,69.1,3138.3,251.5
COASTAL KARNATAKA,1969,0,0,1.2,44.8,49.9,704.8,1253.9,488.2,542.7,163.4,82.6,11.4,3342.9,0,95.8,2989.6,257.5
COASTAL KARNATAKA,1970,0,0,2,30.9,260.4,843.7,1259.2,1130.5,328.7,157.8,28.7,0,4042,0,293.3,3562.2,186.5
COASTAL KARNATAKA,1971,0,0.1,0.4,23.5,268.3,1113.2,1017,532.6,215.6,55.2,7,2.5,3235.2,0.1,292.2,2878.4,64.6
COASTAL KARNATAKA,1972,0,0.5,0.2,17,153.4,716.9,1068.8,522.9,131.2,201.6,38.7,5.8,2856.9,0.5,170.5,2439.8,246.1
COASTAL KARNATAKA,1973,0,0,0,15.3,83,765.5,982.1,915.9,178.5,140.7,39.6,5.4,3126,0,98.3,2842,185.7
COASTAL KARNATAKA,1974,0,0,5.5,25.8,168.1,474.7,1465.9,741.7,361.8,182.4,7.6,0,3433.5,0,199.4,3044.1,190
COASTAL KARNATAKA,1975,0.3,0,7,8,103,1327.8,1095.5,958.6,537.1,199.5,63.1,0.1,4300,0.3,118,3919.1,262.6
COASTAL KARNATAKA,1976,0,0,8.1,20.3,35.8,492.7,1187.1,644.4,346.4,50.3,138.3,10.6,2933.9,0,64.2,2670.6,199.1
COASTAL KARNATAKA,1977,0,1.9,3.3,24.7,116.1,855.7,1290.3,441.1,266.5,198.5,180.8,0,3379,1.9,144.2,2853.6,379.3
COASTAL KARNATAKA,1978,0.3,0.5,0,11.8,251.6,1212.6,1222.5,745.4,206.7,121.5,76.3,13.8,3862.9,0.8,263.4,3387.2,211.5
COASTAL KARNATAKA,1979,0.8,0.2,0.2,11.7,12.2,735.3,962.7,619.4,238.6,127.3,111.8,3.3,2823.4,1,24,2556,242.4
COASTAL KARNATAKA,1980,0,0,0.8,78.6,57.1,1193.3,1057.7,1004.7,199.5,95,71.3,4.1,3762,0,136.5,3455.2,170.3
COASTAL KARNATAKA,1981,0.7,0,1.9,17,58.1,1013.7,1049.3,1187.4,340.7,119.9,56.7,3.2,3848.6,0.7,76.9,3591,179.9
COASTAL KARNATAKA,1982,0,0.3,0.3,3.2,87.5,808.6,1258.7,1579.1,151.8,138.3,62.6,0.3,4090.9,0.3,91.1,3798.2,201.2
COASTAL KARNATAKA,1983,0,0,0,0,24.4,712.6,1160.4,1231.8,596.5,140.9,50.3,25.2,3942.2,0,24.4,3701.5,216.4
COASTAL KARNATAKA,1984,4.3,6,34.2,46.7,24,1110.2,1084.1,613.6,196.8,227.9,11.2,0.1,3359,10.3,104.9,3004.6,239.2
COASTAL KARNATAKA,1985,5.3,0,1.6,12.9,76.9,977.9,668.5,844.3,130.6,258.6,27.5,11.7,3015.7,5.3,91.4,2621.3,297.8
COASTAL KARNATAKA,1986,0.3,0.1,4.8,6.2,20.9,976.5,723.3,808.9,176.3,102.2,112.5,2.5,2934.5,0.4,32,2685,217.1
COASTAL KARNATAKA,1987,0,0,0.2,1.7,63.5,728.3,704.5,715.6,180.6,232.2,74.9,14.7,2716.2,0,65.4,2329,321.8
COASTAL KARNATAKA,1988,0,0.2,0,32,28.4,689.3,1295.8,832.6,451.9,122.7,2.4,11.3,3466.6,0.2,60.5,3269.5,136.4
COASTAL KARNATAKA,1989,0,0,8.4,22.4,53.6,982.5,914.4,829.3,234.7,138.1,31.9,0.3,3215.6,0,84.4,2960.9,170.3
COASTAL KARNATAKA,1990,1.7,0,0.1,5.2,343.2,997,1110.8,1087,265.4,215,93.6,1.5,4120.4,1.7,348.4,3460.2,310.1
COASTAL KARNATAKA,1991,0.1,0,0.3,47.7,95.9,939.9,1501.7,896.5,79.5,111.8,45.6,0.7,3719.7,0.1,143.9,3417.5,158.1
COASTAL KARNATAKA,1992,0,0,0,17.2,77,873.2,1087.5,1097.5,354.3,133.6,241.8,0,3882.2,0,94.2,3412.6,375.4
COASTAL KARNATAKA,1993,0,0.1,6.7,21.7,68.3,591.2,1397.3,742,214.3,347.4,40.8,51.5,3481.3,0.1,96.7,2944.8,439.8
COASTAL KARNATAKA,1994,3.5,0,6.3,72.9,44.1,1221.1,1748.2,907,268.1,336,28.6,0.5,4636.3,3.5,123.2,4144.4,365.2
COASTAL KARNATAKA,1995,3.7,0,0.7,21.1,137.8,535.8,1375.7,685.1,348.5,192,57.4,0,3357.8,3.7,159.6,2945,249.5
COASTAL KARNATAKA,1996,0.3,0,0.4,20.3,26.2,787,1122.6,617.9,289.3,259.5,27.5,37.8,3188.9,0.3,46.9,2816.8,324.9
COASTAL KARNATAKA,1997,0.7,0,14.9,21.5,23.1,818.6,1494.1,1146,117.1,148.5,109.8,59.2,3953.6,0.7,59.5,3575.8,317.5
COASTAL KARNATAKA,1998,0,0,1.4,6.6,72,966.4,1092,633.9,572.8,271,80.6,11.3,3707.9,0,80,3265.1,362.9
COASTAL KARNATAKA,1999,0,0.4,0.4,7.1,335.5,854.1,1525.9,518.4,186.5,338.2,12.8,0.5,3779.9,0.4,343,3084.9,351.5
COASTAL KARNATAKA,2000,14.9,0.5,0.9,25.8,216.4,966.8,915.6,741.7,279.2,174.7,12.5,2.4,3351.3,15.5,243,2903.3,189.6
COASTAL KARNATAKA,2001,0.6,0.4,0.4,71.4,156.9,930,926.9,654.4,151.8,169.7,48.6,0.6,3111.6,1,228.7,2663.1,218.9
COASTAL KARNATAKA,2002,0.6,11.2,0.5,30.9,164,764.5,545.7,731.3,163.5,360,20.7,0.3,2793.1,11.8,195.3,2205,381
COASTAL KARNATAKA,2003,0.1,3.6,8.4,37.3,10.2,973.8,970.6,637.5,236,183.7,10.7,0,3071.9,3.8,55.9,2817.9,194.4
COASTAL KARNATAKA,2004,0,0,6.3,24.7,329.2,805.8,718.1,874.5,154.4,104.7,52.1,0,3070,0.1,360.3,2552.8,156.8
COASTAL KARNATAKA,2005,0.5,0.2,0,72.5,45,821.6,1177.3,692,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
COASTAL KARNATAKA,2006,1,0,4.7,5.9,355.7,800.1,1100.8,855.6,404.1,212,97.4,0,3837.3,1,366.3,3160.6,309.4
COASTAL KARNATAKA,2007,0,0,0.6,40.2,61.1,952,1004.4,980.4,630.5,152.8,37.5,0.8,3860.2,0,101.9,3567.2,191.1
COASTAL KARNATAKA,2008,0,14.8,161.4,33.4,64.3,850.7,687.8,886.3,383.3,91.6,19.3,13.5,3206.4,14.8,259,2808.1,124.4
COASTAL KARNATAKA,2009,0.4,0,35.2,24.5,100.7,450.3,1778.9,486.1,530.7,287.4,132.4,35.4,3862,0.4,160.4,3246,455.2
COASTAL KARNATAKA,2010,14.4,0.4,3.5,62.2,80.2,682.7,1200.2,637.5,468.4,294.7,231.5,11,3686.8,14.8,145.9,2988.9,537.2
COASTAL KARNATAKA,2011,4.8,3.8,8.7,66.1,49.3,1018.4,1080.5,861.3,545.2,178.8,81.5,10.2,3908.6,8.6,124.1,3505.4,270.5
COASTAL KARNATAKA,2012,NA,11.4,5.1,77,22.9,650.9,754.6,1027.6,382,115.1,68,3.6,NA,NA,104.9,2815.1,186.7
COASTAL KARNATAKA,2013,2.4,19.6,19,28.5,100.4,1153,1515.3,680.2,379.1,265.1,56.9,10,4229.4,21.9,147.9,3727.6,332
COASTAL KARNATAKA,2014,0,0.3,1.9,40.5,181.9,507,1155.4,1121,379.3,226.4,40,30.8,3684.4,0.3,224.3,3162.6,297.2
COASTAL KARNATAKA,2015,1.4,1,32.3,72.2,150.3,735.3,930.9,575.2,260.3,208.5,124.2,14.3,3106,2.4,254.8,2501.8,347.1
NORTH INTERIOR KARNATAKA,1901,3.5,18.8,7.1,67.2,65.5,120.5,151.9,115.1,128.8,80,13.6,0.9,773,22.3,139.8,516.4,94.5
NORTH INTERIOR KARNATAKA,1902,0,0,0.3,22.5,34.4,111.3,83.2,78.1,146.7,118.8,35.7,85.1,716.1,0,57.1,419.3,239.6
NORTH INTERIOR KARNATAKA,1903,3.5,0,0.1,6.9,53.4,102.8,209.4,146.4,189.3,166.4,34.3,16,928.5,3.5,60.3,647.9,216.8
NORTH INTERIOR KARNATAKA,1904,0.2,0.3,8.5,11,46.3,120.6,91.6,48.5,165.1,86.5,0,0,578.6,0.5,65.8,425.8,86.5
NORTH INTERIOR KARNATAKA,1905,0,6,2.6,16,51.2,99.6,60.1,139.2,42.2,85,4.4,0,506.2,6,69.8,341.1,89.4
NORTH INTERIOR KARNATAKA,1906,21.3,0,0.2,2.6,30,142,120.3,182.1,116,86.2,24.3,58.9,783.8,21.3,32.7,560.4,169.4
NORTH INTERIOR KARNATAKA,1907,1.1,0,12.1,96.9,5.6,90.6,155.1,185.2,165.8,10.3,17.9,6.1,746.7,1.1,114.6,596.7,34.3
NORTH INTERIOR KARNATAKA,1908,1.3,0.3,2.4,16,20.7,62.6,154.9,86.1,232.7,16.9,1.1,0.1,595.1,1.6,39.1,536.4,18
NORTH INTERIOR KARNATAKA,1909,2.4,0.1,10.1,11.8,55.3,110.3,140.4,175.6,106.2,50,12,1.6,675.8,2.5,77.1,532.5,63.6
NORTH INTERIOR KARNATAKA,1910,0,0,4.5,2.5,28.2,78.2,127.9,195.5,186.3,104.1,32.3,0,759.4,0,35.2,587.9,136.4
NORTH INTERIOR KARNATAKA,1911,0,0,5.1,3.1,43.2,87.6,151.5,71.6,67.4,61.4,8.8,10.3,510,0,51.4,378.1,80.6
NORTH INTERIOR KARNATAKA,1912,0,12.5,0,42.6,38.2,43.7,226.2,158,104.4,104.9,28.3,0,758.7,12.5,80.8,532.3,133.1
NORTH INTERIOR KARNATAKA,1913,0,0.9,0,16.3,76.7,104,150.9,45,89.3,85.4,2.5,1.3,572.3,0.9,93,389.2,89.2
NORTH INTERIOR KARNATAKA,1914,0,0,0.6,19.5,34.2,74.4,220.9,237.1,152.1,24.9,43,18.2,824.8,0,54.2,684.5,86.1
NORTH INTERIOR KARNATAKA,1915,26.5,2.4,25.6,32.4,40.3,107.2,150.1,57.8,173.6,89.3,42.6,5.5,753.3,28.9,98.3,488.8,137.4
NORTH INTERIOR KARNATAKA,1916,0,1.2,0.2,22.7,60.1,97.4,234,82.4,190.8,197.3,201.8,0,1087.9,1.2,83,604.6,399.1
NORTH INTERIOR KARNATAKA,1917,0,21.1,22.7,11.7,20.2,117,77.8,164.2,192.6,137.2,59.4,0,823.8,21.1,54.6,551.6,196.6
NORTH INTERIOR KARNATAKA,1918,5.9,0.2,2.3,22.5,117.3,43.3,37,61.2,150.8,19.6,62.5,5.5,528,6.1,142,292.3,87.6
NORTH INTERIOR KARNATAKA,1919,10.6,0.3,0.1,13.2,64.7,124.2,72.7,41,228.5,84.3,85,2.5,727.1,10.8,78.1,466.3,171.9
NORTH INTERIOR KARNATAKA,1920,2.6,0,0,25.1,32.3,75.3,82.6,56.5,139.5,54.3,2.2,0,470.3,2.6,57.4,353.9,56.4
NORTH INTERIOR KARNATAKA,1921,0.2,0,1.2,33.6,5.4,63.5,158.2,41.7,49.4,125.3,104.5,0,582.8,0.2,40.2,312.7,229.7
NORTH INTERIOR KARNATAKA,1922,24.5,1.5,0.2,30.2,40.4,70.7,108.1,40.4,35.9,64.9,92.1,0,509,26,70.8,255.1,157
NORTH INTERIOR KARNATAKA,1923,0.2,13.2,32.9,21.4,28.2,38.2,229.4,64.4,163.1,9.4,0,2.3,602.8,13.4,82.5,495.1,11.8
NORTH INTERIOR KARNATAKA,1924,5.1,0,6,42,22,68.3,120.4,117.9,155.1,37.9,13.4,3.1,591.2,5.1,70,461.7,54.4
NORTH INTERIOR KARNATAKA,1925,0,0,7.3,34.3,79,74.1,113.7,77.5,108.7,118.7,16.6,12.9,642.6,0,120.6,373.9,148.1
NORTH INTERIOR KARNATAKA,1926,24.8,1,2.1,4.5,37.1,65.5,123,138.4,161.7,22.1,0.8,0,581,25.8,43.8,488.6,22.9
NORTH INTERIOR KARNATAKA,1927,0,1.4,4.4,9.3,34.4,123.9,161,54.3,184.7,24.7,82.7,0,680.8,1.4,48.2,523.9,107.3
NORTH INTERIOR KARNATAKA,1928,0.5,28.4,13.2,18.2,20.5,153.6,130.2,73.4,210.7,102.6,0.3,17,768.5,28.9,51.9,567.8,119.9
NORTH INTERIOR KARNATAKA,1929,2,24.9,2.7,49,37.8,105.6,67.4,33,167.2,91.3,16,1.2,598,26.9,89.5,373.2,108.5
NORTH INTERIOR KARNATAKA,1930,0,0.3,3.1,9.5,56.2,94.1,61,61.1,189.4,130.8,22.8,4.3,632.7,0.3,68.9,405.6,157.9
NORTH INTERIOR KARNATAKA,1931,0,0.1,4.5,30.6,33.1,114.1,134.9,70.1,195.1,51.7,65.6,19.4,719.2,0.1,68.2,514.2,136.7
NORTH INTERIOR KARNATAKA,1932,0,1.9,0.6,24.8,46.5,49.9,165.3,160.4,113.9,146.8,98.5,0.1,808.8,1.9,71.9,489.5,245.4
NORTH INTERIOR KARNATAKA,1933,0.1,2.8,13.6,50.1,84.1,113.2,131.6,158.9,149.4,160.7,52.3,30.4,947.3,3,147.8,553.2,243.4
NORTH INTERIOR KARNATAKA,1934,1.2,0,0.3,29.5,9.9,70.8,212.3,98.9,67.5,58.9,41.8,0,591.2,1.2,39.7,449.5,100.7
NORTH INTERIOR KARNATAKA,1935,13.9,0.4,0.1,30.1,13.1,120.8,106.8,204.3,80.5,131.7,11.5,1.7,714.9,14.3,43.3,512.4,144.9
NORTH INTERIOR KARNATAKA,1936,0,18.4,5.9,13.3,50.4,101.5,62.7,59.5,136.4,50.8,62.7,3,564.7,18.4,69.6,360.1,116.6
NORTH INTERIOR KARNATAKA,1937,0,14,12.8,63.4,16.4,54.4,124.8,36.6,109.6,113.5,0,6.9,552.4,14,92.5,325.4,120.5
NORTH INTERIOR KARNATAKA,1938,0,4.9,43.4,15.6,45.6,119,142.1,190.4,200.9,44.2,8,1,815.1,4.9,104.6,652.4,53.2
NORTH INTERIOR KARNATAKA,1939,0,0,5.5,11.1,12.9,87.9,113.2,157.8,115.8,122.1,27.6,0,653.9,0,29.5,474.7,149.7
NORTH INTERIOR KARNATAKA,1940,2,0,0.1,31,64.5,122.7,118.3,138,111.9,115.2,18.6,14.4,736.8,2,95.6,491,148.2
NORTH INTERIOR KARNATAKA,1941,10.7,3.9,7.2,11.2,24.9,64.7,106.3,80.3,164.6,52.5,0.3,9.1,535.7,14.6,43.3,415.8,61.9
NORTH INTERIOR KARNATAKA,1942,0,3.2,0.4,30.2,35.7,138.5,111.7,143.7,57.4,33.8,4.2,26.7,585.7,3.2,66.3,451.4,64.7
NORTH INTERIOR KARNATAKA,1943,6.7,0.8,3.1,31.6,117.8,115.6,128.8,71.8,200.9,174.1,28,0,879.2,7.5,152.4,517.2,202
NORTH INTERIOR KARNATAKA,1944,0,3.2,30.3,12.3,44.8,92.6,174.6,28,140.5,158.8,37.1,0,722.1,3.2,87.4,435.7,195.8
NORTH INTERIOR KARNATAKA,1945,0.3,0,0,11.2,21.3,69.7,191.9,95.7,92.8,57.6,3.5,0,544,0.3,32.5,450.1,61.1
NORTH INTERIOR KARNATAKA,1946,0,7.6,3.8,44.2,56.8,106.7,135,127.9,146.2,75.5,102,3.3,808.9,7.6,104.8,515.7,180.7
NORTH INTERIOR KARNATAKA,1947,8.6,6.7,11.1,13.9,29,102.9,175.5,217,161.3,38.4,13.4,8.6,786.3,15.2,54,656.7,60.3
NORTH INTERIOR KARNATAKA,1948,0.9,0,7.9,40.1,38.2,72.6,110.3,147.3,155.9,79,126.3,0.1,778.3,0.9,86.1,486,205.3
NORTH INTERIOR KARNATAKA,1949,0,1.5,6.4,15.2,72.9,82.5,114.1,100.5,265.4,94.1,10.7,0,763.3,1.5,94.5,562.6,104.8
NORTH INTERIOR KARNATAKA,1950,0,6.8,4,8.2,51.9,94.9,122.6,120.8,180.4,109.8,7,0,706.5,6.8,64,518.8,116.9
NORTH INTERIOR KARNATAKA,1951,0,0,4.5,17.3,63.8,117.6,179,64.8,149,101.2,10.4,0.8,708.4,0,85.6,510.4,112.4
NORTH INTERIOR KARNATAKA,1952,0,8,0.1,32.1,98.3,52.9,132,64.7,85.2,141.6,0,13.7,628.5,8,130.4,334.8,155.3
NORTH INTERIOR KARNATAKA,1953,0,0,0.1,38.9,5.8,127.8,192.4,91.6,186.2,248.3,0,0,891.2,0,44.8,598,248.4
NORTH INTERIOR KARNATAKA,1954,0,0,16.9,19.7,44.9,80.1,216.4,152.7,78.2,62.8,0.2,11.4,683.3,0,81.5,527.4,74.3
